x,y,z
0,0,4
2.351141009,0,3.236067977
3.804226065,0,1.236067977
3.804226065,0,-1.236067977
2.351141009,0,-3.236067977
4.90059E-16,0,-4
-2.351141009,0,-3.236067977
-3.804226065,0,-1.236067977
-3.804226065,0,1.236067977
-2.351141009,0,3.236067977
-9.80119E-16,0,4
0,0,4
0.726542528,2.236067977,3.236067977
1.175570505,3.618033989,1.236067977
1.175570505,3.618033989,-1.236067977
0.726542528,2.236067977,-3.236067977
1.51437E-16,4.66074E-16,-4
-0.726542528,-2.236067977,-3.236067977
-1.175570505,-3.618033989,-1.236067977
-1.175570505,-3.618033989,1.236067977
-0.726542528,-2.236067977,3.236067977
-3.02873E-16,-9.32148E-16,4
0,0,4
-1.902113033,1.381966011,3.236067977
-3.077683537,2.236067977,1.236067977
-3.077683537,2.236067977,-1.236067977
-1.902113033,1.381966011,-3.236067977
-3.96466E-16,2.8805E-16,-4
1.902113033,-1.381966011,-3.236067977
3.077683537,-2.236067977,-1.236067977
3.077683537,-2.236067977,1.236067977
1.902113033,-1.381966011,3.236067977
7.92933E-16,-5.76099E-16,4
0,0,4
-1.902113033,-1.381966011,3.236067977
-3.077683537,-2.236067977,1.236067977
-3.077683537,-2.236067977,-1.236067977
-1.902113033,-1.381966011,-3.236067977
-3.96466E-16,-2.8805E-16,-4
1.902113033,1.381966011,-3.236067977
3.077683537,2.236067977,-1.236067977
3.077683537,2.236067977,1.236067977
1.902113033,1.381966011,3.236067977
7.92933E-16,5.76099E-16,4
0,0,4
0.726542528,-2.236067977,3.236067977
1.175570505,-3.618033989,1.236067977
1.175570505,-3.618033989,-1.236067977
0.726542528,-2.236067977,-3.236067977
1.51437E-16,-4.66074E-16,-4
-0.726542528,2.236067977,-3.236067977
-1.175570505,3.618033989,-1.236067977
-1.175570505,3.618033989,1.236067977
-0.726542528,2.236067977,3.236067977
-3.02873E-16,9.32148E-16,4
